probe_id	gene_symbol	gene_id	gene_title	mapping_status
201484_at	SUPT4H1	6827	SPT4 homolog, DSIF elongation factor subunit	single_symbol
201485_s_at	RCN2	5955	reticulocalbin 2	single_symbol
201486_at	RCN2	5955	reticulocalbin 2	single_symbol
201487_at	CTSC	1075	cathepsin C	single_symbol
201488_x_at	KHDRBS1	10657	KH RNA binding domain containing, signal transduction associated 1	single_symbol
201489_at	PPIF	10105	peptidylprolyl isomerase F	single_symbol
201490_s_at	PPIF	10105	peptidylprolyl isomerase F	single_symbol
201491_at	AHSA1	10598	activator of Hsp90 ATPase activity 1	single_symbol
201492_s_at	RPL41	6171	ribosomal protein L41	single_symbol
201493_s_at	PUM2	23369	pumilio RNA binding family member 2	single_symbol
201494_at	PRCP	5547	prolylcarboxypeptidase	single_symbol
201495_x_at	MYH11	4629	myosin heavy chain 11	single_symbol
201496_x_at	MYH11	4629	myosin heavy chain 11	single_symbol
201497_x_at	MYH11	4629	myosin heavy chain 11	single_symbol
201498_at	USP7	7874	ubiquitin specific peptidase 7	single_symbol
201499_s_at	USP7	7874	ubiquitin specific peptidase 7	single_symbol
201500_s_at	PPP1R11	6992	protein phosphatase 1 regulatory inhibitor subunit 11	single_symbol
201501_s_at	GRSF1	2926	G-rich RNA sequence binding factor 1	single_symbol
201502_s_at	NFKBIA	4792	NFKB inhibitor alpha	single_symbol
201503_at	G3BP1	10146	G3BP stress granule assembly factor 1	single_symbol
201504_s_at	TSN	7247	translin	single_symbol
201505_at	LAMB1	3912	laminin subunit beta 1	single_symbol
201506_at	TGFBI	7045	transforming growth factor beta induced	single_symbol
201507_at	PFDN1	5201	prefoldin subunit 1	single_symbol
201508_at	IGFBP4	3487	insulin like growth factor binding protein 4	single_symbol
201509_at	IDH3B	3420	isocitrate dehydrogenase 3 (NAD(+)) beta	single_symbol
201510_at	ELF3	1999	E74 like ETS transcription factor 3	single_symbol
201511_at	AAMP	14	angio associated migratory cell protein	single_symbol
201512_s_at	TOMM70	9868	translocase of outer mitochondrial membrane 70	single_symbol
201513_at	TSN	7247	translin	single_symbol
201514_s_at	G3BP1	10146	G3BP stress granule assembly factor 1	single_symbol
201515_s_at	TSN	7247	translin	single_symbol
201516_at	SRM	6723	spermidine synthase	single_symbol
201517_at	NCBP2	22916	nuclear cap binding protein subunit 2	single_symbol
201518_at	CBX1	10951	chromobox 1	single_symbol
201519_at	TOMM70	9868	translocase of outer mitochondrial membrane 70	single_symbol
201520_s_at	GRSF1	2926	G-rich RNA sequence binding factor 1	single_symbol
201521_s_at	NCBP2	22916	nuclear cap binding protein subunit 2	single_symbol
201522_x_at	SNURF///SNRPN	8926///6638	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N	multiple_symbols
201523_x_at	UBE2N	7334	ubiquitin conjugating enzyme E2 N	single_symbol
201524_x_at	UBE2N	7334	ubiquitin conjugating enzyme E2 N	single_symbol
201525_at	APOD	347	apolipoprotein D	single_symbol
201526_at	ARF5	381	ADP ribosylation factor 5	single_symbol
201527_at	LOC101927180///ATP6V1F	101927180///9296	V-type proton ATPase subunit F pseudogene///ATPase H+ transporting V1 subunit F	multiple_symbols
201528_at	RPA1	6117	replication protein A1	single_symbol
201529_s_at	RPA1	6117	replication protein A1	single_symbol
201530_x_at	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	101928634///100533955///652966///652965///26781///1973	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	multiple_symbols
201531_at	ZFP36	7538	ZFP36 ring finger protein	single_symbol
201532_at	PSMA3	5684	proteasome subunit alpha 3	single_symbol
201533_at	CTNNB1	1499	catenin beta 1	single_symbol
201534_s_at	UBL3	5412	ubiquitin like 3	single_symbol
201535_at	UBL3	5412	ubiquitin like 3	single_symbol
201536_at	DUSP3	1845	dual specificity phosphatase 3	single_symbol
201537_s_at	DUSP3	1845	dual specificity phosphatase 3	single_symbol
201538_s_at	DUSP3	1845	dual specificity phosphatase 3	single_symbol
201539_s_at	FHL1	2273	four and a half LIM domains 1	single_symbol
201540_at	FHL1	2273	four and a half LIM domains 1	single_symbol
201541_s_at	ZNHIT1	10467	zinc finger HIT-type containing 1	single_symbol
201542_at	SAR1A	56681	secretion associated Ras related GTPase 1A	single_symbol
